 Sponsor Name, Agency Name, Agency Phone, Program Name, Program Phone,  Program Address 1, Program City, Program State, Program Zip, Program Region, Program Type Description, Program Subcategory Description,
Astor Services for Children & Families,Astor Services for Children & Families,(845) 871-1000,Astor - Non-Medicaid CC,(718) 231-3400,1391 Nelson Avenue,Bronx,NY,10452,New York City,"Non-Medicaid Care Coordination, Early Recognition Coordination and Screening Services","Care Coordination, General Support","1391 Nelson Avenue Bronx NY, 10452"
Baltic Street AEH Inc.,Baltic Street AEH Inc.,(718) 855-5929,Bronx Peer Advocacy,(718) 802-1933,2488 Grand Concourse RM 401,Bronx,NY,10458,New York City,Advocacy/Support Services,Self-Help,"2488 Grand Concourse RM 401 Bronx NY, 10458"
Bronx Provider Consumer Alliance Resource Center,Bronx Provider Consumer Alliance Resource Ctr,(718) 862-3347,Community Support Service: Self-Help/MICA Internship Program,(718) 862-3347,1500 Waters Place Thompson/Parker Building,Bronx,NY,10461,New York City,"Self-Help Programs, Work Program","Self-Help, Vocational","1500 Waters Place Thompson/Parker Building Bronx NY, 10461"
Bronx Psychiatric Center,Bronx Psychiatric Center,(718) 862-3300,Bronx PC - HHCM,(718) 944-7178,3050 White Plains Road,Bronx,NY,10467,New York City,Health Home Care Management,Care Coordination,"3050 White Plains Road Bronx NY, 10467"
Bronx Psychiatric Center,Bronx Psychiatric Center,(718) 862-3300,Recovery Nursing Home Program,(718) 862-5556,1500 Waters Place,Bronx,NY,10461-2796,New York City,"Nursing Home Support, Assisted Competitive Employment","General Support, Vocational","1500 Waters Place Bronx NY, 10461-2796"
Bronx-Lebanon Hospital Center,Bronx-Lebanon Hospital Center,(718) 466-6022,Bronx-Lebanon Hospital Center - HH CM,(718) 466-6022,1276 Fulton Avenue Dept of Psychiatry,Bronx,NY,10456,New York City,Health Home Care and Non-Medicaid Care Management,Care Coordination,"1276 Fulton Avenue Dept of Psychiatry Bronx NY, 10456"
ComuniLife Inc.,ComuniLife Inc.,(212) 219-1618,Integrated Physical and Behavioral Health Care for Geriatric,(718) 364-7700,4419 Third Avenue,Bronx,NY,10457,New York City,Geriatric Demo Physical Health - Mental Health Integration,Care Coordination,"4419 Third Avenue Bronx NY, 10457"
Family Court State of New York,Family Court State of New York,(212) 442-4265,NYS Family Court - Bronx,(718) 590-3416,900 Sheridan Avenue 8th FL,Bronx,NY,10451,New York City,Advocacy/Support Services,Self-Help,"900 Sheridan Avenue 8th FL Bronx NY, 10451"
Federation Employment & Guidance Service,Federation Employment & Guidance Service,(212) 366-8400,FEGS - Riverdale Manor Adult Home SCM,(718) 796-4424x201,6355 Broadway,Bronx,NY,10471,New York City,Adult Home Supportive Case Management,Care Coordination,"6355 Broadway Bronx NY, 10471"
Federation Employment & Guidance Service,Federation Employment & Guidance Service,(212) 366-8400,Bronx Early Recog & Screening - Evander,(718) 881-7600,800 E. Gun Hill Road,Bronx,NY,10467,New York City,Early Recognition Coordination and Screening Services,General Support,"800 E. Gun Hill Road Bronx NY, 10467"
Fountain House Inc.,Fountain House Inc.,(212) 582-0340,Fountain House Bronx Pyschosocial Clubhouse,(718) 742-9884,564 Walton Avenue,Bronx,NY,10451,New York City,Psychosocial Club,Self-Help,"564 Walton Avenue Bronx NY, 10451"
General Development & Orientation Council,General Development & Orientation Council,(718) 960-7601,Casa La Esperanza,(718) 764-1570,915 Westchester Avenue,Bronx,NY,10456,New York City,Psychosocial Club,Self-Help,"915 Westchester Avenue Bronx NY, 10456"
Goodwill Industries of Greater New York Inc.,Goodwill Industries of Greater New York Inc.,(718) 728-5400,Adult Self Help Program,(718) 777-4202,384 E. 149th Street Suite 622,Bronx,NY,10455,New York City,"Self-Help Programs, Assisted Competitive Employment","Self-Help, Vocational","384 E. 149th Street Suite 622 Bronx NY, 10455"
