 Sponsor Name, Agency Name, Agency Phone, Program Name, Program Phone,  Program Address 1, Program City, Program State, Program Zip, Program County, Program Region, Populations Served, Program Type Description, Program Subcategory Description,
Federation Employment & Guidance Service,Federation Employment & Guidance Service,(212) 366-8400,OMH/HHC Discharge Bridges - NonMedicaid CC,(212) 366-8310,600 E. 125th Street Manhattan PC Building 108 2nd FL,Wards Island,NY,10035,New York,New York City,Adults,Non-Medicaid Care Coordination,Care Coordination,"600 E. 125th Street Manhattan PC Building 108 2nd FL Wards Island NY, 10035"
New York City Health and Hospitals Corporation Coler-Goldwater Memorial Hospital (Coler Campus),NYC-HHC Coler-Goldwater (Coler Campus),(212) 848-6000,Consultation/Liaison,(718) 319-6852,900 Main Street Coler Campus,Roosevelt Island,NY,10044,New York,New York City,Adults,Advocacy/Support Services,Self-Help,"900 Main Street Coler Campus Roosevelt Island NY, 10044"
New York City Health and Hospitals Corporation Coler-Goldwater Memorial Hospital (Coler Campus),NYC-HHC Coler-Goldwater (Coler Campus),(212) 848-6000,Consultation/Liaison,(212) 318-4650,1 Main Street Coler-Goldwater Campus,Roosevelt Island,NY,10044,New York,New York City,Adults,Advocacy/Support Services,Self-Help,"1 Main Street Coler-Goldwater Campus Roosevelt Island NY, 10044"
ACMH Inc.,ACMH Inc.,(212) 274-8558,ACMH - HH CM,(212) 543-0592,545 Eighth Avenue Room 910,New York,NY,10018,New York,New York City,Adults,Health Home Care and Non-Medicaid Care Management,Care Coordination,"545 Eighth Avenue Room 910 New York NY, 10018"
Association to Benefit Children,Association to Benefit Children,(212) 845-3821,ABC Early Recognition and Screening Clinic,(646) 459-6165,1841 Park Avenue,New York,NY,10035,New York,New York City,Children Adolescents,Early Recognition Coordination and Screening Services,General Support,"1841 Park Avenue New York NY, 10035"
August Aichhorn Center for Adolescent Residential Care Inc.,August Aichhorn Ctr./Adoles. Resid. Care Inc,(212) 873-9170,RTF Transition Coordinator,(212) 316-9353,23 W. 106th Street,New York,NY,10025,New York,New York City,Adolescents Adults,"Residential Treatment Facility Transition Coordinator - Community, Assisted Competitive Employment","Care Coordination, Vocational","23 W. 106th Street New York NY, 10025"
Baltic Street AEH Inc.,Baltic Street AEH Inc.,(718) 855-5929,Manhattan Self Help,(212) 961-8741,163 125th Street 11th FL,New York,NY,10027,New York,New York City,Adults,Self-Help Programs,Self-Help,"163 125th Street 11th FL New York NY, 10027"
Bowery Residents' Committee Inc.,Bowery Residents' Committee Inc.,(212) 803-5700,BRC - HH CM,(646) 607-9746x520,224 W. 35th Street 2d FL Suite 200,New York,NY,10001,New York,New York City,Adults,Health Home Care and Non-Medicaid Care Management,Care Coordination,"224 W. 35th Street 2d FL Suite 200 New York NY, 10001"
Bowery Residents' Committee Inc.,Bowery Residents' Committee Inc.,(212) 803-5700,Reception Center,(212) 533-4040,324 Lafayette Street 2nd & 3rd FL,New York,NY,10012,New York,New York City,,Drop In Centers,Self-Help,"324 Lafayette Street 2nd & 3rd FL New York NY, 10012"
Center for Urban Community Services Inc.,Center for Urban Community Services Inc.,(212) 801-3300,350 Lafayette Street On-Site Rehab,(212) 420-7750x7751,350 Lafayette Street,New York,NY,10012,New York,New York City,Adults,On-Site Rehabilitation,General Support,"350 Lafayette Street New York NY, 10012"
Center for Urban Community Services Inc.,Center for Urban Community Services Inc.,(212) 801-3300,Kelly Transitional Community Living,(212) 665-1678,312-314 W. 127th Street,New York,NY,10027,New York,New York City,Adults,On-Site Rehabilitation,General Support,"312-314 W. 127th Street New York NY, 10027"
Center for Urban Community Services Inc.,Center for Urban Community Services Inc.,(212) 801-3300,Project for Psychiatric Outreach to the Homeless,(212) 801-3300,198 E. 121st Street 5th FL,New York,NY,10035,New York,New York City,Adults,Outreach,General Support,"198 E. 121st Street 5th FL New York NY, 10035"
Center for Urban Community Services Inc.,Center for Urban Community Services Inc.,(212) 801-3300,ACE - CSS,(212) 471-0767,14 E. 28th Street,New York,NY,10016,New York,New York City,Adults,Assisted Competitive Employment,Vocational,"14 E. 28th Street New York NY, 10016"
Central New York Psychiatric Center,Central New York Psychiatric Center,(315) 765-3600,Edgecombe Correctional Facility,(718) 984-2598,611 Edgecombe Avenue,New York,NY,10032,New York,New York City,Adults,Prison-based Forensic Mental Health Units,Forensics,"611 Edgecombe Avenue New York NY, 10032"
Central New York Psychiatric Center,Central New York Psychiatric Center,(315) 765-3600,Lincoln Mental Health Unit,(718) 984-2598,31-33 W. 110th Street,New York,NY,10026,New York,New York City,Adults,Prison-based Forensic Mental Health Units,Forensics,"31-33 W. 110th Street New York NY, 10026"
Children's Aid Society,Children's Aid Society,(212) 949-4800,Mirabel Sisters School - SBMH,,4600 Broadway,New York,NY,10040,New York,New York City,Children Adolescents,School Based Mental Health,Education,"4600 Broadway New York NY, 10040"
Children's Aid Society,Children's Aid Society,(212) 949-4800,Salome Urena Middle Acade - SBMH,,21 Jumel Place,New York,NY,10032,New York,New York City,Children Adolescents,School Based Mental Health,Education,"21 Jumel Place New York NY, 10032"
Community Access Inc.,Community Access Inc.,(212) 780-1400,Bedford Hills Program,(212) 865-0775,2090 Adam Clayton Powell Blvd,New York,NY,10027,New York,New York City,Adults,"Advocacy/Support Services, Assisted Competitive Employment, Ongoing Integrated Supported Employment Services","Self-Help, Vocational","2090 Adam Clayton Powell Blvd New York NY, 10027"
Community Association of Progressive Dominicans Inc.,Community Association of Progressive Dominica,(212) 781-5500,Audubon Ballroom Youth,(212) 568-4872,513 West 207th Street,New York,NY,10034,New York,New York City,Children Adolescents Adults,Non-Medicaid Care Coordination,Care Coordination,"513 West 207th Street New York NY, 10034"
Covenant House,Covenant House,(212) 613-0300,Covenant House,(212) 613-0377,460 West 41st Street,New York,NY,10036,New York,New York City,Adolescents Adults,On-Site Rehabilitation,General Support,"460 West 41st Street New York NY, 10036"
Encore Community Services,Encore Community Services,(212) 581-3490,The Encore 49 Residence,(212) 581-3490x1171,220 W. 49th Street,New York,NY,10019-7497,New York,New York City,Adults,On-Site Rehabilitation,General Support,"220 W. 49th Street New York NY, 10019-7497"
Family Court State of New York,Family Court State of New York,(212) 442-4265,NYS Family Court - Manhattan,(212) 442-4488,60 Lafayette Street Roo 6C-13,New York,NY,10013,New York,New York City,Children Adolescents Adults,Advocacy/Support Services,Self-Help,"60 Lafayette Street Roo 6C-13 New York NY, 10013"
