Ethnicity,NON-HISPANIC BLACK,,,,,
,,,,,,
Sum of Count,Column Labels,,,,,
Row Labels,2007,2008,2009,2010,2011,Grand Total
ACCIDENTS EXCEPT DRUG POISONING,4,4,4,4,4,20
FEMALE,174,140,142,116,152,724
MALE,316,292,268,294,266,1436
ALZHEIMERS DISEASE,4,4,4,4,4,20
FEMALE,82,124,158,176,180,720
MALE,36,32,60,40,78,246
ANEMIAS,4,2,4,4,4,18
FEMALE,36,30,32,38,26,162
MALE,38,,36,40,48,162
AORTIC ANEURYSM AND DISSECTION,4,2,4,4,4,18
FEMALE,50,,38,32,38,158
MALE,66,34,46,50,58,254
ASSAULT (HOMICIDE),4,4,4,4,4,20
FEMALE,82,72,58,94,104,410
MALE,534,572,510,602,532,2750
ATHEROSCLEROSIS,4,2,4,4,4,18
FEMALE,60,60,60,46,40,266
MALE,58,,42,40,30,170
BENIGN AND UNCERTAIN NEOPLASMS,4,4,4,4,4,20
FEMALE,76,52,70,52,82,332
MALE,44,40,48,38,32,202
CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD,4,4,2,2,2,14
FEMALE,32,44,,,32,108
MALE,48,40,36,30,,154
CEREBROVASCULAR DISEASE,4,4,4,4,4,20
FEMALE,558,534,490,518,562,2662
MALE,426,412,308,342,400,1888
CHRONIC LIVER DISEASE AND CIRRHOSIS,4,4,4,4,4,20
FEMALE,66,80,70,86,78,380
MALE,156,128,134,136,132,686
CHRONIC LOWER RESPIRATORY DISEASES,4,4,4,4,4,20
FEMALE,326,382,376,412,442,1938
MALE,274,338,294,404,400,1710
"CONGENITAL MALFORMATIONS,DEFORMATIONS",4,4,4,4,4,20
FEMALE,74,76,68,66,58,342
MALE,66,90,86,68,62,372
DIABETES MELLITUS,4,4,4,4,4,20
FEMALE,716,760,768,768,820,3832
MALE,492,530,570,558,614,2764
DISEASES OF HEART,4,4,4,4,4,20
FEMALE,5444,5450,5070,4564,4486,25014
MALE,4242,4154,4136,4030,3680,20242
ESSENTIAL HYPERTENSION AND RENAL DISEASES,4,4,4,4,4,20
FEMALE,332,384,454,504,450,2124
MALE,274,268,262,356,308,1468
HUMAN IMMUNODEFICIENCY VIRUS DISEASE,4,4,4,4,4,20
FEMALE,496,454,416,304,288,1958
MALE,754,712,658,594,554,3272
INFLUENZA AND PNEUMONIA,4,4,4,4,4,20
FEMALE,590,636,562,550,546,2884
MALE,460,444,414,402,486,2206
INTENTIONAL SELF-HARM (SUICIDE),4,4,4,4,2,18
FEMALE,40,40,34,38,,152
MALE,116,90,116,128,106,556
MALIGNANT NEOPLASMS,4,4,4,4,4,20
FEMALE,3600,3512,3472,3536,3836,17956
MALE,3046,2928,3114,3080,3180,15348
MENTAL DISORDERS DUE TO USE OF ALCOHOL,2,4,4,2,4,16
FEMALE,,28,44,,34,106
MALE,98,74,98,100,90,460
"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",4,4,4,4,4,20
FEMALE,160,142,150,172,166,790
MALE,116,108,120,140,152,636
PEPTIC ULCER,2,4,,4,4,14
FEMALE,,28,,30,44,102
MALE,26,34,,26,36,122
"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",2,2,2,2,2,10
FEMALE,50,44,48,36,26,204
PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,4,4,4,4,4,20
FEMALE,174,112,146,126,130,688
MALE,326,264,226,222,270,1308
RESPIRATORY DISTRESS OF NEWBORN,,2,,,,2
MALE,,36,,,,36
SEPTICEMIA,4,4,4,4,4,20
FEMALE,178,136,92,110,104,620
MALE,134,98,66,72,108,478
SHORT GESTATION/LBW,4,4,4,4,4,20
FEMALE,30,52,52,58,54,246
MALE,40,44,62,70,34,250
VIRAL HEPATITIS,4,4,4,4,4,20
FEMALE,64,58,80,66,66,334
MALE,120,124,112,98,112,566
Grand Total,25796,25316,24772,24458,24612,124954
