 Sponsor Name, Agency Name, Agency Phone, Program Name, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Program Region, Program Type Description, Program Subcategory Description
Catholic Charities Neighborhood Services Inc.,Catholic Charities Neighborhood Services Inc,(718) 722-6000,Rockaway Integrated Health Care for Older Adults,(718) 337-6800,18-47 Mott Street,,Far Rockaway,NY,11691,New York City,Geriatric Demo Physical Health - Mental Health Integration,Care Coordination
Catholic Charities Neighborhood Services Inc.,Catholic Charities Neighborhood Services Inc,(718) 722-6000,Outreach Clinic,(718) 779-1234,61-20 Woodside Avenue,,Woodside,NY,11377,New York City,Outreach,General Support
Central New York Psychiatric Center,Central New York Psychiatric Center,(315) 765-3600,Queensboro Mental Health Unit,(718) 984-2598,47-04 Van Dam Street,,Long Island City,NY,11101,New York City,Prison-based Forensic Mental Health Units,Forensics
Creedmoor Psychiatric Center,Creedmoor Psychiatric Center,(718) 464-7500,Creedmoor PC - HHCM,(718) 264-5300x5301,79-25 Winchester Blvd,Building 40 Unit 15b,Queens Village,NY,11427,New York City,"Health Home Care and Non-Medicaid Care Management, Assisted Competitive Employment","Care Coordination, Vocational"
Creedmoor Psychiatric Center,Creedmoor Psychiatric Center,(718) 464-7500,Nursing Home Recovery,(718) 634-8939,8808 Rockaway Beach Blvd,,Far Rockaway,NY,11691,New York City,Nursing Home Support,General Support
Episcopal Health Services Inc.,Episcopal Health Services Inc.,(718) 869-7320,Episcopal Health Services - C&Y BCM - St. John's Hospital,(718) 474-2169,230 Beach 102nd Street,,Rockaway Park,NY,11694,New York City,Blended Case Management,Care Coordination
Episcopal Health Services Inc.,Episcopal Health Services Inc.,(718) 869-7320,Family Resource Center,(347) 644-5711,148-45 Hillside Avenue,,Jamaica,NY,11435,New York City,Family Support Services - Children & Family,General Support
Family Court State of New York,Family Court State of New York,(212) 442-4265,NYS Family Court - Queens,(718) 658-3502,151-20 Jamaica Avenue,4th Floor,Jamaica,NY,11432,New York City,Advocacy/Support Services,Self-Help
Federation of Organizations for the New York State Mentally Disabled Inc.,Federation of Org. f/t NYS Ment.Disabled Inc,(631) 669-5355,Fed of Org - AH SCM - New Haven Manor,(718) 850-7099,105-01 101st Avenue,,Ozone Park,NY,11416,New York City,"Adult Home Supportive Case Management, Health Home Care and Non-Medicaid Care Mangement",Care Coordination
Federation of Organizations for the New York State Mentally Disabled Inc.,Federation of Org. f/t NYS Ment.Disabled Inc,(631) 669-5355,Fed of Org - AH SCM - Sanford Home,(718) 475-2940,140-40 Sanford Avenue,,Flushing,NY,11355,New York City,Adult Home Supportive Case Management,Care Coordination
